,year,temp_glob,pred_temp_glob_rfr,temp_hem_N,pred_temp_hem_N_rfr,temp_hem_S,pred_temp_hem_S_rfr,temp_24N_44N,pred_temp_24N_44N_rfr,temp_24S_EQU,pred_temp_24S_EQU_rfr,temp_EQU_24N,pred_temp_EQU_24N_rfr,temp_90S_64S,pred_temp_90S_64S_rfr,temp_44S_24S,pred_temp_44S_24S_rfr,temp_44N_64N,pred_temp_44N_64N_rfr,temp_64N_90N,pred_temp_64N_90N_rfr,pred_temp_glob_lin,pred_temp_hem_N_lin,pred_temp_hem_S_lin,pred_temp_24N_44N_lin,pred_temp_24S_EQU_lin,pred_temp_EQU_24N_lin,pred_temp_90S_64S_lin,pred_temp_44S_24S_lin,pred_temp_44N_64N_lin,pred_temp_64N_90N_lin
10,1890,-0.35,-0.24480000000000018,-0.38,-0.24090000000000003,-0.32,-0.15359999999999993,-0.26,-0.15359999999999993,-0.47,-0.15359999999999993,-0.26,-0.15359999999999993,0.15,-0.15359999999999993,-0.18,-0.15359999999999993,-0.57,-0.17999999999999997,-1.12,-0.15359999999999993,-0.2602980540511233,-0.2459566685385255,-0.6780848109197741,-0.5072671476424624,-0.6827889529345796,-0.6154872437516126,-0.694879584824939,-0.6901754428101299,-0.5147417570005466,-0.6930992746187172
11,1891,-0.22,-0.2839999999999999,-0.25,-0.24650000000000005,-0.19000000000000003,-0.15359999999999993,-0.36,-0.15359999999999993,-0.16,-0.15359999999999993,0.01,-0.15359999999999993,-0.15,-0.15359999999999993,-0.18,-0.15359999999999993,-0.35,-0.17909999999999993,-1.1,-0.15359999999999993,-0.26129762316703875,-0.2455051175989702,-0.6863249686799335,-0.5134639533906409,-0.6912831979879286,-0.6243123793758301,-0.7046142817032681,-0.6996560523952766,-0.518799876524799,-0.7027717534175011
12,1892,-0.27,-0.28809999999999986,-0.39,-0.24359999999999993,-0.15,-0.15359999999999993,-0.16999999999999998,-0.15359999999999993,-0.26,-0.15359999999999993,-0.33,-0.15359999999999993,0.09,-0.15359999999999993,0.02,-0.15359999999999993,-0.67,-0.18129999999999996,-1.11,-0.15359999999999993,-0.260165654771086,-0.24235465918670585,-0.6944851635357132,-0.5191485125904514,-0.6997411255743415,-0.6327840051794027,-0.7143489785815973,-0.709093016542969,-0.5210277445860605,-0.7124413325755796
13,1893,-0.31,-0.2862999999999998,-0.47,-0.23759999999999987,-0.15,-0.15359999999999993,-0.4600000000000001,-0.15359999999999993,-0.3,-0.15359999999999993,-0.42,-0.15359999999999993,-0.04,-0.15359999999999993,0.07,-0.15359999999999993,-0.55,-0.17989999999999995,-0.58,-0.15359999999999993,-0.2578641975042899,-0.2385588887000516,-0.7025927344818612,-0.5243176231166764,-0.7081324634149802,-0.6413624311892292,-0.7240836754599265,-0.7185439465268075,-0.5230175257611016,-0.7221123350128273
14,1894,-0.3,-0.2805000000000001,-0.38,-0.2261,-0.21,-0.15109999999999993,-0.18,-0.15109999999999993,-0.18,-0.15109999999999993,-0.48,-0.15109999999999993,-0.37,-0.15109999999999993,-0.15,-0.15109999999999993,-0.34,-0.1732999999999999,-0.88,-0.15109999999999993,-0.2578494017127184,-0.23693151070148488,-0.7107013455080775,-0.5285025131858347,-0.7164959381751785,-0.6498961346557799,-0.7338183723382592,-0.7280237796711617,-0.5282055478811856,-0.7317824319934552
15,1895,-0.22,-0.22819999999999993,-0.3,-0.19819999999999996,-0.15,-0.14929999999999993,-0.27,-0.14929999999999993,0.01,-0.14929999999999993,-0.14,-0.14929999999999993,-0.58,-0.14929999999999993,-0.2,-0.14929999999999993,-0.53,-0.17989999999999995,-0.64,-0.14929999999999993,-0.2590253642208573,-0.23657335312962502,-0.7187312354271178,-0.5355610864025202,-0.7248467128470679,-0.6584290096930197,-0.7435530692165884,-0.7374375917966312,-0.5317917546842175,-0.7414507099996293
16,1896,-0.11,-0.20129999999999995,-0.19,-0.1753,-0.03,-0.14929999999999993,-0.22,-0.14929999999999993,0.15,-0.14929999999999993,0.049999999999999996,-0.14929999999999993,0.26,-0.14929999999999993,-0.16,-0.14929999999999993,-0.38,-0.20559999999999992,-0.82,-0.14929999999999993,-0.25872561586227505,-0.23476390750516174,-0.7267295289605684,-0.5405805638407699,-0.7331812357705054,-0.6669931977560672,-0.7532877660949175,-0.746836059284977,-0.5359331441104658,-0.7511203000826079
17,1897,-0.11,-0.1593,-0.16,-0.16349999999999995,-0.05000000000000001,-0.14859999999999993,-0.24,-0.14859999999999993,0.21,-0.14859999999999993,0.14,-0.14859999999999993,0.41,-0.14859999999999993,-0.2,-0.14859999999999993,-0.47,-0.20489999999999992,-0.5,-0.14859999999999993,-0.25921440138111507,-0.23382431667715053,-0.7347468685084202,-0.5462535788519141,-0.7415519792572702,-0.6755279960625167,-0.7630224629732467,-0.7562173522243967,-0.5403158037172275,-0.760794326965236
18,1898,-0.27,-0.13040000000000002,-0.28,-0.1690999999999999,-0.26,-0.14309999999999992,-0.23000000000000004,-0.14309999999999992,-0.26,-0.14309999999999992,-0.17,-0.14309999999999992,0.38,-0.14309999999999992,-0.28,-0.14309999999999992,-0.25,-0.19689999999999996,-1.13,-0.14309999999999992,-0.26009254445351004,-0.23322692144982327,-0.7428116617127003,-0.5529044626818376,-0.7499345600769196,-0.6840816455397523,-0.7727571598515794,-0.7656342614873601,-0.5440547548614489,-0.7704575379215157
19,1899,-0.17,-0.10730000000000006,-0.19999999999999998,-0.1841999999999998,-0.14,-0.14309999999999992,-0.15,-0.14309999999999992,-0.07,-0.14309999999999992,-0.15,-0.14309999999999992,0.59,-0.14309999999999992,-0.16,-0.14309999999999992,-0.11,-0.20909999999999992,-1.0,-0.14309999999999992,-0.26316332375431273,-0.23500719443467943,-0.7507170950439033,-0.560648701538998,-0.7582450937436356,-0.6925424544320435,-0.7824918567299086,-0.7749638580301834,-0.549160773329799,-0.7801308353235683
20,1900,-0.08,-0.11500000000000007,-0.09,-0.20809999999999984,-0.06,-0.14309999999999992,-0.15,-0.14309999999999992,0.26,-0.14309999999999992,0.09,-0.14309999999999992,0.27,-0.14309999999999992,-0.29,-0.14309999999999992,-0.17,-0.2206999999999999,-0.51,-0.14309999999999992,-0.2634814390510911,-0.23395636011078125,-0.7584520051889179,-0.5669965075076107,-0.7665478136150696,-0.7008391960532023,-0.7922265536082378,-0.7841307451820896,-0.5530148883888586,-0.7897854289858266
21,1901,-0.15,-0.1548000000000001,-0.12,-0.2561999999999998,-0.18000000000000002,-0.14309999999999992,-0.15,-0.14309999999999992,-0.01,-0.14309999999999992,-0.06,-0.14309999999999992,0.26,-0.14309999999999992,-0.27,-0.14309999999999992,-0.11,-0.2230999999999999,-0.34,-0.14309999999999992,-0.2627770641454461,-0.23101141417073023,-0.7660965488078482,-0.5741157939322115,-0.7745660237860292,-0.7093479320391616,-0.801961250486567,-0.793491775508393,-0.5539930439124774,-0.7994383957465843
22,1902,-0.28,-0.2510000000000001,-0.33,-0.30510000000000004,-0.22,-0.1444999999999999,-0.32,-0.1444999999999999,-0.04,-0.1444999999999999,-0.01,-0.1444999999999999,-0.04,-0.1444999999999999,-0.28,-0.1444999999999999,-0.52,-0.24039999999999984,-1.49,-0.1444999999999999,-0.26105020625132624,-0.22709977956274585,-0.7735701275467548,-0.5805495916098202,-0.7824949672622665,-0.7176509492533789,-0.8116959473648997,-0.8027711076493809,-0.5548894054043529,-0.8090976753898929
23,1903,-0.37,-0.3557,-0.37,-0.3493000000000002,-0.36000000000000004,-0.1523999999999999,-0.56,-0.1592999999999999,-0.33,-0.1523999999999999,-0.23,-0.1523999999999999,-0.49,-0.1523999999999999,-0.35,-0.1523999999999999,-0.43,-0.2401999999999999,-0.20000000000000004,-0.1523999999999999,-0.2641297879579554,-0.22781394200675464,-0.7810876499153849,-0.5900436387095453,-0.7905165147294078,-0.7258681672604581,-0.8214306442432289,-0.8120017794292096,-0.5574341334392301,-0.8187599353272006
24,1904,-0.47,-0.42339999999999944,-0.48,-0.3893,-0.45,-0.1523999999999999,-0.55,-0.1551999999999999,-0.48,-0.1523999999999999,-0.43000000000000005,-0.1523999999999999,-1.32,-0.1523999999999999,-0.37,-0.1523999999999999,-0.61,-0.22419999999999987,-0.20000000000000004,-0.1523999999999999,-0.26093111535753977,-0.22231133017110594,-0.788541589896866,-0.5943409410258162,-0.7984880351176926,-0.7341011307140555,-0.831165341121558,-0.8212188959007314,-0.55894835584742,-0.8284169259484848
25,1905,-0.26,-0.30770000000000036,-0.28,-0.3529000000000002,-0.22,-0.1523999999999999,-0.62,-0.1987,-0.04,-0.1523999999999999,-0.09999999999999999,-0.1523999999999999,-0.34,-0.1523999999999999,-0.33,-0.1523999999999999,-0.24000000000000002,-0.22279999999999986,-0.01,-0.1523999999999999,-0.26212598485424365,-0.2207758017823913,-0.7960097900355443,-0.6028270991651645,-0.8064940928028115,-0.7423025008471065,-0.8409000379998872,-0.8304157352326165,-0.560271334265682,-0.8380749815041
26,1906,-0.22,-0.31010000000000043,-0.23,-0.3480000000000003,-0.20000000000000004,-0.1523999999999999,-0.39,-0.19379999999999994,-0.17,-0.1523999999999999,-0.19999999999999998,-0.1523999999999999,-0.72,-0.1523999999999999,-0.2,-0.1523999999999999,-0.08,-0.22359999999999988,-0.25,-0.1523999999999999,-0.26163268565107245,-0.21763231804669658,-0.8036430075212735,-0.6093427736561949,-0.8145103615295994,-0.7505549624402512,-0.85063473487822,-0.839767380869894,-0.5619077290453625,-0.8477310575395514
27,1907,-0.38,-0.38520000000000043,-0.47,-0.3728000000000003,-0.29,-0.1523999999999999,-0.52,-0.19269999999999995,-0.3,-0.1523999999999999,-0.3,-0.1523999999999999,-1.2,-0.1523999999999999,-0.21,-0.1523999999999999,-0.73,-0.21059999999999987,-0.54,-0.1523999999999999,-0.2698827539801165,-0.2226676695073273,-0.8111038024475228,-0.620497871885906,-0.8225342618825948,-0.7585090253131703,-0.8603694317565491,-0.8489389723214735,-0.567378031886161,-0.8573910356917338
28,1908,-0.42,-0.4181000000000006,-0.45,-0.3798000000000002,-0.4000000000000001,-0.1523999999999999,-0.52,-0.1861999999999999,-0.45,-0.1523999999999999,-0.4099999999999999,-0.1523999999999999,0.67,-0.1523999999999999,-0.29,-0.1523999999999999,-0.55,-0.20949999999999988,-0.18000000000000002,-0.1523999999999999,-0.2607311136661785,-0.21011020287524573,-0.8185095723367439,-0.6191555934997801,-0.8304771488875708,-0.7665631429326041,-0.8701041286348783,-0.8581365520840478,-0.5676433906462428,-0.8670604617012536
29,1909,-0.48,-0.4444999999999999,-0.48999999999999994,-0.3714,-0.47,-0.1523999999999999,-0.44,-0.1894999999999999,-0.51,-0.1523999999999999,-0.43000000000000005,-0.1523999999999999,-0.57,-0.1523999999999999,-0.37,-0.1523999999999999,-0.63,-0.2102999999999999,-0.69,-0.1523999999999999,-0.25990234668265444,-0.20610745457116408,-0.8257825950794633,-0.627446150692414,-0.838485278320718,-0.7745814149580177,-0.8798388255132075,-0.8671361422719528,-0.5668924557135142,-0.8767039097468405
30,1910,-0.43,-0.4243999999999998,-0.44,-0.3593,-0.43,-0.1523999999999999,-0.5,-0.19469999999999993,-0.49,-0.1523999999999999,-0.48,-0.1523999999999999,0.16,-0.1523999999999999,-0.33,-0.1523999999999999,-0.25,-0.2147999999999999,-0.56,-0.1523999999999999,-0.26013983421637477,-0.20440829309718467,-0.8331979019636577,-0.6351184295849812,-0.8462495178705574,-0.782494555700044,-0.8895735223915402,-0.8765219064846406,-0.569171721881137,-0.8863441531056395
31,1911,-0.44,-0.40199999999999975,-0.42,-0.3446999999999999,-0.46,-0.1528999999999999,-0.48,-0.2139999999999999,-0.43,-0.1528999999999999,-0.42,-0.1528999999999999,0.05,-0.1528999999999999,-0.44,-0.1528999999999999,-0.42,-0.22809999999999991,-0.23,-0.1528999999999999,-0.2573142438085334,-0.20210003532731946,-0.8403794203967436,-0.638381062327003,-0.8540511550805832,-0.7929300945838449,-0.8993082192698694,-0.8856364845860263,-0.5727084328355296,-0.8960051033905572
32,1912,-0.36,-0.35289999999999955,-0.46,-0.3347999999999997,-0.24,-0.1528999999999999,-0.51,-0.21479999999999994,-0.08,-0.1528999999999999,-0.27,-0.1528999999999999,-1.64,-0.1528999999999999,-0.36,-0.1528999999999999,-0.79,-0.21509999999999987,-0.47,-0.1528999999999999,-0.25844247754833205,-0.20178186591279257,-0.8475428957626363,-0.6461351094237493,-0.8618224574352951,-0.7995713801598505,-0.9090429161481985,-0.8947633544755362,-0.5775436888148242,-0.9056604359589677
33,1913,-0.34,-0.3265999999999998,-0.4099999999999999,-0.3281999999999997,-0.26,-0.1528999999999999,-0.51,-0.1981999999999999,-0.14,-0.1528999999999999,-0.38,-0.1528999999999999,-1.04,-0.1528999999999999,-0.28,-0.1528999999999999,-0.33,-0.21609999999999985,-0.44,-0.1528999999999999,-0.26364488620331983,-0.20537081353470654,-0.8546580166216451,-0.6528177194816784,-0.8695444625994959,-0.8080992207522328,-0.9187776130265277,-0.9038911670486804,-0.5854698379042382,-0.9153168744761402
34,1914,-0.15,-0.20479999999999976,-0.18,-0.26289999999999963,-0.10000000000000002,-0.14959999999999993,-0.29,-0.20579999999999996,-0.01,-0.14959999999999993,-0.09999999999999999,-0.14959999999999993,-0.37,-0.14959999999999993,-0.15,-0.14959999999999993,-0.16,-0.20689999999999986,-0.31,-0.14959999999999993,-0.2468473245966365,-0.19062569184415068,-0.8616030136134363,-0.6519344953633777,-0.8772000382951042,-0.8164039205744835,-0.9285123099048604,-0.912915285223189,-0.5828959156576019,-0.9249282899632583
35,1915,-0.13,-0.188,-0.13,-0.2148999999999998,-0.13,-0.14959999999999993,-0.19,-0.21219999999999992,-0.01,-0.14959999999999993,0.0,-0.14959999999999993,-1.99,-0.14959999999999993,-0.15,-0.14959999999999993,-0.17,-0.20689999999999986,-0.55,-0.14959999999999993,-0.24067509439783663,-0.18431784692229058,-0.8683780649148289,-0.656624463728182,-0.8848674500519529,-0.8248587127081741,-0.9382470067831896,-0.9217576216460657,-0.5830285263184614,-0.9345471645170456
36,1916,-0.35,-0.3107999999999996,-0.4099999999999999,-0.32469999999999966,-0.3,-0.14959999999999993,-0.24,-0.20419999999999988,-0.4,-0.14959999999999993,-0.48,-0.14959999999999993,-1.05,-0.14959999999999993,-0.23,-0.14959999999999993,-0.55,-0.20629999999999987,-0.46,-0.14959999999999993,-0.24544039014018182,-0.1892708095110791,-0.8753549553735276,-0.6659362089374525,-0.8925874021452778,-0.8333022949949864,-0.9479817036615188,-0.9307492568897793,-0.5897910702900155,-0.9441863462731845
37,1917,-0.45,-0.3947000000000002,-0.57,-0.3545,-0.36000000000000004,-0.14959999999999993,-0.43,-0.20329999999999993,-0.58,-0.14959999999999993,-0.67,-0.14959999999999993,0.06,-0.14959999999999993,-0.23,-0.14959999999999993,-0.5,-0.20629999999999987,-0.7600000000000001,-0.14959999999999993,-0.24646400044762728,-0.19084352250933634,-0.8822970856509116,-0.6750953904584165,-0.9002683585041815,-0.8419756355382546,-0.957716400539848,-0.9397451276865851,-0.5931044253553139,-0.9538172727768917
38,1918,-0.29,-0.3188999999999995,-0.39999999999999997,-0.3219999999999996,-0.20000000000000004,-0.14959999999999993,-0.3499999999999999,-0.2042999999999999,-0.28,-0.14959999999999993,-0.39,-0.14959999999999993,-0.28,-0.14959999999999993,-0.06,-0.14959999999999993,-0.28,-0.21689999999999995,-0.98,-0.14959999999999993,-0.2398365391674524,-0.18293567167158997,-0.8892277128404302,-0.6806157996543014,-0.907905394620748,-0.8505721135256401,-0.9674510974181807,-0.9487734156378629,-0.5906539888662827,-0.9634470618799043
39,1919,-0.27,-0.2514999999999997,-0.35,-0.25269999999999987,-0.20000000000000004,-0.14959999999999993,-0.3,-0.19659999999999989,-0.16,-0.14959999999999993,-0.23,-0.14959999999999993,0.19,-0.14959999999999993,-0.14,-0.14959999999999993,-0.56,-0.21779999999999994,-0.67,-0.14959999999999993,-0.21807622641858515,-0.15912236596619778,-0.8962070677961762,-0.6737351099438307,-0.9156237354696195,-0.8592822947215346,-0.9771857942965099,-0.9577691266230701,-0.5845784256085089,-0.9730839185818461
40,1920,-0.27,-0.2675999999999997,-0.3,-0.2733999999999997,-0.24,-0.14959999999999993,-0.3499999999999999,-0.18749999999999992,-0.12,-0.14959999999999993,-0.38,-0.14959999999999993,-1.15,-0.14959999999999993,-0.19,-0.14959999999999993,-0.21,-0.22929999999999995,0.0,-0.14959999999999993,-0.23067466040378548,-0.17139118285021482,-0.903145758246314,-0.6862629180901791,-0.9231827806807082,-0.8677020482108304,-0.986920491174839,-0.9668834687404448,-0.5954713164419267,-0.9827163736317956
41,1921,-0.19,-0.21200000000000008,-0.11,-0.2385,-0.26,-0.15039999999999992,-0.09,-0.18759999999999993,-0.21,-0.15039999999999992,-0.28,-0.15039999999999992,-0.84,-0.15039999999999992,-0.23,-0.15039999999999992,0.17,-0.23569999999999997,0.01,-0.15039999999999992,-0.20941773457172985,-0.14968047934097584,-0.9095882809457692,-0.6777394642750458,-0.9306626482436471,-0.8754242865459041,-0.9966551880531682,-0.9755808207552938,-0.5941276156794153,-0.9923546770001224
42,1922,-0.28,-0.25970000000000026,-0.27,-0.2187,-0.29,-0.15039999999999992,-0.13,-0.18749999999999992,-0.31,-0.15039999999999992,-0.32,-0.15039999999999992,-0.28,-0.15039999999999992,-0.24,-0.15039999999999992,-0.4,-0.2379,-0.26,-0.15039999999999992,-0.20926571984272613,-0.14951145963571122,-0.9160632208141948,-0.6821297328981721,-0.9381557334469264,-0.8820090475892037,-1.006389884931501,-0.9842973722987693,-0.6025387805655029,-1.0020035533773353
43,1923,-0.26,-0.2590000000000002,-0.22,-0.19659999999999986,-0.31,-0.15039999999999992,-0.26,-0.19539999999999988,-0.27,-0.15039999999999992,-0.32,-0.15039999999999992,-0.55,-0.15039999999999992,-0.26,-0.15039999999999992,-0.15,-0.24199999999999997,0.22,-0.15039999999999992,-0.21933000144611725,-0.15882225926057103,-0.9228789219452445,-0.7031279607622452,-0.9457082276933377,-0.888252501847667,-1.0161245818098301,-0.9932952760617368,-0.6041497458204184,-1.011665796259738
44,1924,-0.27,-0.24239999999999984,-0.18,-0.19919999999999988,-0.3499999999999999,-0.15039999999999992,-0.23000000000000004,-0.1888999999999999,-0.24,-0.15039999999999992,-0.27,-0.15039999999999992,-0.53,-0.15039999999999992,-0.4,-0.15039999999999992,-0.25,-0.24230000000000002,0.55,-0.15039999999999992,-0.21341587944925422,-0.15194999111346874,-0.9296408721747369,-0.6996363379857193,-0.9532198837730341,-0.8948041621586107,-1.0258592786881593,-1.0022802670898585,-0.6137737343104632,-1.021313592723157
45,1925,-0.22,-0.1884999999999998,-0.14,-0.18939999999999985,-0.3,-0.15039999999999992,-0.19,-0.1978999999999999,-0.2,-0.15039999999999992,-0.28,-0.15039999999999992,-0.86,-0.15039999999999992,-0.24,-0.15039999999999992,0.17,-0.24259999999999998,-0.04,-0.15039999999999992,-0.20833992060933326,-0.14616122036194312,-0.9361626295401351,-0.7051278949161635,-0.9606880683413159,-0.9009994445850289,-1.0355939755664885,-1.0110685367653005,-0.6158598357442457,-1.0309559718159598
46,1926,-0.11,-0.1645999999999998,0.01,-0.18449999999999986,-0.21,-0.1497999999999999,-0.23000000000000004,-0.2168999999999999,0.03,-0.1497999999999999,-0.01,-0.1497999999999999,-0.64,-0.1497999999999999,-0.35,-0.1497999999999999,0.15,-0.24209999999999998,0.58,-0.1497999999999999,-0.19940447963719166,-0.13714553993474965,-0.9425440112939967,-0.7140149509366331,-0.9680661169373508,-0.9071287000574415,-1.0453286724448212,-1.019806566801467,-0.6113853935951994,-1.0406025126799392
47,1927,-0.22,-0.2084999999999998,-0.14,-0.21149999999999988,-0.29,-0.1497999999999999,-0.13,-0.21679999999999988,-0.17,-0.1497999999999999,-0.15,-0.1497999999999999,-1.39,-0.1497999999999999,-0.3,-0.1497999999999999,-0.22,-0.23579999999999998,0.04,-0.1497999999999999,-0.20507511086595542,-0.1424761790082094,-0.9489486263982769,-0.7164061642782045,-0.9754320508099639,-0.9132196174898759,-1.0550633693231504,-1.0285799449114634,-0.627734166240959,-1.0503063389686176
